id,features
130,"[0.7625033855438232, 0.22563926875591278, 0.20432712137699127, 0.3532380759716034, 0.27339279651641846, 0.0726836770772934, 0.3957192301750183, 0.1684136837720871, 0.0, 0.19895538687705994, 0.9219015836715698, 0.26389649510383606, 0.0, 0.022558247670531273, 0.26624539494514465, 0.9200712442398071, 0.3348057270050049, 0.8965986967086792, 1.1193314790725708, 0.331179678440094]"
140,"[0.43163472414016724, 1.21906316280365, 0.002124607563018799, 0.5518460869789124, 0.29504457116127014, 0.51677006483078, 0.5069278478622437, 0.6898103356361389, 0.06012497469782829, 0.22840584814548492, 0.2467365264892578, 0.012978337705135345, 0.5481981635093689, 0.0, 0.0, 0.034917764365673065, 0.45973971486091614, 0.17942526936531067, 0.0, 0.06372363120317459]"
150,"[0.13127680122852325, 0.49425873160362244, 0.4263049364089966, 0.1065351739525795, 0.583231508731842, 0.6843762993812561, 0.9216073751449585, 0.0, 0.40977177023887634, 0.05256473645567894, 0.24786870181560516, 0.09959987550973892, 0.0, 1.2420316934585571, 0.36572402715682983, 0.17865853011608124, 0.03484003245830536, 0.0, 0.644089937210083, 0.0]"
160,"[0.2843201756477356, 1.3459149599075317, 0.0, 0.0, 0.0, 0.0, 0.645760178565979, 0.6575685143470764, 0.44954004883766174, 0.7476320266723633, 0.7068707346916199, 0.0, 0.5176675915718079, 0.5478817224502563, 0.5744158625602722, 0.0, 0.11156009882688522, 0.0, 0.4659503996372223, 0.38469046354293823]"
170,"[0.41901975870132446, 0.44930383563041687, 0.3745879530906677, 0.5237771272659302, 0.12716059386730194, 0.0, 0.0, 0.217717245221138, 0.5388479232788086, 0.7958472967147827, 0.17965348064899445, 0.5775566101074219, 0.6560657620429993, 0.3988383412361145, 0.6721854209899902, 0.26080602407455444, 0.05725175142288208, 0.8407391905784607, 0.19686362147331238, 0.8449026942253113]"
180,"[0.2613424062728882, 0.5053121447563171, 0.0, 0.7508391737937927, 0.5017558336257935, 0.042906586080789566, 0.4801698327064514, 0.0, 0.00018066940538119525, 0.6170984506607056, 0.4929673969745636, 0.6124177575111389, 0.010615726932883263, 0.0, 0.0, 0.14345821738243103, 0.0, 0.46671566367149353, 0.8911157250404358, 0.4095514118671417]"
190,"[0.981944739818573, 0.19898568093776703, 0.0, 0.0, 0.9807462692260742, 0.0, 0.0, 0.57564377784729, 0.7103753685951233, 0.030415743589401245, 0.8947775363922119, 0.38900136947631836, 0.22076988220214844, 0.39172813296318054, 0.007332403678447008, 0.0, 0.70246422290802, 0.15341579914093018, 0.8956139087677002, 0.0]"
200,"[0.0, 0.39384496212005615, 0.6924005746841431, 0.0, 0.9087897539138794, 1.217808485031128, 0.0, 0.0884997695684433, 0.14289146661758423, 0.46337518095970154, 0.43883073329925537, 0.7681081891059875, 0.02899731881916523, 0.0, 0.7905078530311584, 0.0, 0.0, 0.021510789170861244, 0.2392287701368332, 0.7169058918952942]"
210,"[1.06461501121521, 0.0, 0.529435396194458, 0.0, 0.34249481558799744, 0.29092925786972046, 0.43939149379730225, 0.41360825300216675, 0.03192951902747154, 0.3958583474159241, 0.7273859977722168, 0.0, 0.20073653757572174, 0.0, 0.0, 0.0, 0.40320342779159546, 0.015733851119875908, 0.22786958515644073, 0.954006552696228]"
220,"[0.032547660171985626, 0.0, 0.35957688093185425, 0.13392896950244904, 0.0, 0.0, 0.7073671221733093, 0.5526834726333618, 0.0, 0.6816479563713074, 0.7171151638031006, 0.7434765696525574, 0.14221113920211792, 1.3574661016464233, 0.23421749472618103, 0.0, 0.3311983346939087, 0.6739577054977417, 0.7072399258613586, 0.041572388261556625]"
230,"[0.259909451007843, 0.0, 0.33320891857147217, 0.44358932971954346, 0.06503623723983765, 0.07399603724479675, 0.4440918266773224, 0.4756079912185669, 0.6200064420700073, 0.4432472884654999, 0.636611819267273, 0.0, 0.0, 0.0032085536513477564, 0.0, 0.0, 0.0, 0.3347499668598175, 1.5154699087142944, 0.39546898007392883]"
240,"[0.0, 0.8615835309028625, 0.24650609493255615, 0.0, 0.2682056128978729, 0.4919770061969757, 0.026789098978042603, 0.45379582047462463, 0.1584625542163849, 0.0, 0.17300553619861603, 0.47565731406211853, 0.6182946562767029, 1.0250860452651978, 0.011385468766093254, 0.8668656349182129, 0.41636571288108826, 0.0, 0.0, 0.42377805709838867]"
250,"[0.3766467869281769, 0.0, 0.2678862512111664, 0.131479874253273, 0.007469098083674908, 1.080067753791809, 0.0, 0.7866869568824768, 0.7858935594558716, 1.2441788911819458, 0.0, 0.0, 0.07137005031108856, 0.09875266999006271, 0.0, 0.17867417633533478, 0.8433098196983337, 0.3378745913505554, 0.0, 0.24424050748348236]"
260,"[0.06689723581075668, 0.0, 0.0, 0.1675044745206833, 0.7118416428565979, 0.8914287090301514, 0.0, 0.0, 0.0, 0.0, 1.086747646331787, 0.07876184582710266, 0.005972525104880333, 0.5368005633354187, 1.1450515985488892, 0.00943196564912796, 0.0, 0.632377028465271, 0.0, 0.3175760805606842]"
270,"[0.0, 0.0, 0.005910307168960571, 0.07320448756217957, 0.0, 0.0, 0.08999435603618622, 1.065268874168396, 0.06104327738285065, 0.6543952226638794, 0.12056821584701538, 0.0, 0.9881643652915955, 0.7595667243003845, 0.1640641838312149, 0.5509356260299683, 0.3796095848083496, 0.14832299947738647, 0.1299571841955185, 0.9120913147926331]"
280,"[0.017677050083875656, 0.46071475744247437, 1.3477755784988403, 0.0, 0.2911209166049957, 0.6114585399627686, 0.0, 0.1303805410861969, 0.0, 0.13628841936588287, 0.887387752532959, 0.0, 0.0, 0.0, 0.6376771330833435, 0.2857854962348938, 0.5601574182510376, 0.5688681602478027, 0.0, 0.7848027944564819]"
290,"[0.0, 0.2983610928058624, 0.6241753697395325, 0.5803557634353638, 0.23691794276237488, 0.0, 0.7923364043235779, 0.5301757454872131, 0.2985408306121826, 0.0, 0.3515505790710449, 0.20666192471981049, 0.0, 0.27266350388526917, 0.0, 0.7695834040641785, 0.6097943186759949, 0.3996104598045349, 1.5880100727081299, 0.12670353055000305]"
300,"[0.2952728271484375, 0.14071448147296906, 0.0, 0.13826587796211243, 1.255420446395874, 0.7396470904350281, 0.6819772124290466, 0.437017560005188, 0.06548406183719635, 0.0, 0.014637013897299767, 0.24266403913497925, 0.5731126666069031, 0.6188846230506897, 0.9137552380561829, 0.0, 0.0023729000240564346, 0.0791163444519043, 0.0, 0.0]"
310,"[0.0, 0.0, 0.7013624906539917, 0.03298977017402649, 0.10602813959121704, 0.41150927543640137, 0.9827524423599243, 0.0, 0.1175876259803772, 0.43854933977127075, 0.1558423787355423, 0.0, 1.05314302444458, 0.8424909710884094, 0.3540361821651459, 0.0677747130393982, 0.23526817560195923, 0.07820272445678711, 0.47216108441352844, 0.4389856159687042]"
320,"[0.8821862936019897, 0.3358033299446106, 0.0, 0.2929331660270691, 0.32120242714881897, 0.0, 1.0517847537994385, 0.714530885219574, 0.7959453463554382, 0.21063390374183655, 0.0, 1.1072015762329102, 0.0, 0.34222617745399475, 0.30550727248191833, 0.19708828628063202, 0.15254263579845428, 0.0, 0.029146742075681686, 0.04701743647456169]"
330,"[0.22048605978488922, 2.4568984372308478e-05, 0.018424971029162407, 1.3214998245239258, 0.2022390216588974, 0.096495121717453, 1.1525648832321167, 0.8071601390838623, 0.5492972135543823, 0.43086370825767517, 0.0, 0.5276577472686768, 0.0, 0.18439625203609467, 0.19276954233646393, 0.0, 0.0, 0.0, 0.5234832167625427, 0.4193253815174103]"
340,"[0.059677854180336, 0.3129551410675049, 0.0, 0.6197410821914673, 0.4904753267765045, 0.6104687452316284, 0.0, 0.22975052893161774, 0.8084118366241455, 0.014447683468461037, 0.45375561714172363, 0.20182688534259796, 1.1618765592575073, 0.15142497420310974, 0.7648494839668274, 0.28277096152305603, 0.696079671382904, 0.7986324429512024, 0.0, 0.0]"
350,"[0.23327718675136566, 1.328898310661316, 0.5935161709785461, 1.1953558921813965, 0.0, 0.4071257412433624, 0.0, 0.65069580078125, 0.43727779388427734, 0.29822003841400146, 0.35197052359580994, 0.0, 0.15414048731327057, 0.6454623937606812, 0.010574821382761002, 0.39735913276672363, 0.04993024095892906, 0.07711855322122574, 0.0, 0.0]"
360,"[0.0, 0.12454921752214432, 0.17322491109371185, 0.3707766532897949, 0.7764800786972046, 0.21747355163097382, 0.11795005947351456, 0.49398836493492126, 0.7351346611976624, 0.6093621253967285, 0.4019332528114319, 1.2290562391281128, 0.45755183696746826, 0.23855742812156677, 0.30979040265083313, 0.0, 0.0, 0.0, 0.045137785375118256, 0.6963902115821838]"
370,"[0.168403759598732, 0.3599497675895691, 0.5615806579589844, 0.4260788559913635, 0.4327838122844696, 0.006848686840385199, 0.0, 0.5279881358146667, 0.0, 0.9472782611846924, 0.812688946723938, 1.2808250188827515, 0.0, 0.0, 0.0, 0.0, 0.004284065682440996, 0.2827169597148895, 0.43404725193977356, 0.1575152575969696]"
380,"[0.0, 0.38753238320350647, 1.0566617250442505, 0.27097731828689575, 0.37927931547164917, 0.2447323054075241, 0.3727812170982361, 0.0, 0.4880685806274414, 0.17118506133556366, 0.6908642649650574, 0.7941597104072571, 0.31587496399879456, 0.12948445975780487, 1.0449326038360596, 0.0, 0.30967289209365845, 0.047147784382104874, 0.024463508278131485, 0.13486389815807343]"
390,"[0.0, 0.33153417706489563, 0.45172345638275146, 0.8061936497688293, 0.7612727284431458, 0.16582927107810974, 0.31720423698425293, 0.16270005702972412, 0.09523534774780273, 0.0, 0.15638938546180725, 0.3905009627342224, 0.28155529499053955, 1.189151644706726, 1.0307096242904663, 0.0, 0.0, 0.3386571407318115, 0.09150340408086777, 0.22163578867912292]"
400,"[0.0, 0.17744235694408417, 0.6723296046257019, 0.017883343622088432, 0.24127571284770966, 0.676304817199707, 0.25466597080230713, 0.0, 0.8631983399391174, 1.2836538553237915, 0.46560657024383545, 0.269633948802948, 0.023933853954076767, 0.5367305278778076, 0.3286021947860718, 0.9028529524803162, 0.13627693057060242, 0.5178247690200806, 0.04259234666824341, 0.0]"
410,"[0.513809323310852, 0.4198089838027954, 0.0, 0.1773882657289505, 0.5273510813713074, 0.7305797934532166, 0.880291223526001, 0.08307846635580063, 0.35472652316093445, 0.08695896714925766, 0.21893015503883362, 0.22676411271095276, 0.34211283922195435, 1.43443763256073, 0.6622522473335266, 0.11615841090679169, 0.07747235149145126, 0.0, 0.0, 0.39029693603515625]"
420,"[0.0, 0.4843387305736542, 0.2555643320083618, 0.5529055595397949, 0.6959490180015564, 0.0029836262110620737, 1.0824486017227173, 0.0534939169883728, 0.48936566710472107, 0.0, 0.07559233158826828, 0.6295684576034546, 0.9935709834098816, 0.3607971668243408, 0.0011518915416672826, 0.6771632432937622, 0.0, 0.4325564205646515, 0.11937575042247772, 0.18786470592021942]"
430,"[1.0807780027389526, 0.0, 0.0, 0.20181073248386383, 0.05884992331266403, 0.6511403322219849, 0.6723460555076599, 0.62129145860672, 0.10505364090204239, 0.06508699804544449, 0.0, 0.9249022006988525, 0.0, 0.25892069935798645, 0.0, 0.49772265553474426, 0.2906414270401001, 0.845045804977417, 0.406735897064209, 0.09668958932161331]"
440,"[0.29933616518974304, 0.10435989499092102, 0.39046499133110046, 0.7583950161933899, 0.23726172745227814, 0.01485474593937397, 0.0, 0.16258138418197632, 0.24595746397972107, 0.0, 0.0, 0.8846928477287292, 0.45432281494140625, 0.0, 0.5900646448135376, 0.3920053243637085, 0.19969819486141205, 1.522234559059143, 0.0, 0.38257715106010437]"
450,"[0.4003448784351349, 0.6820452809333801, 0.0, 0.0, 0.7269538044929504, 0.8137630224227905, 0.012734383344650269, 0.0, 1.002387523651123, 0.0, 0.791907548904419, 0.0, 0.09523624181747437, 1.0650744438171387, 0.0, 0.21015140414237976, 0.4049924612045288, 0.44681498408317566, 0.1176571175456047, 0.4867793023586273]"
460,"[0.007428000681102276, 0.661935031414032, 0.0, 0.9953027963638306, 0.20638057589530945, 0.5115085244178772, 0.0, 0.0, 0.0, 0.025324184447526932, 0.8475322127342224, 0.6864696145057678, 0.42007672786712646, 0.43848586082458496, 0.17494097352027893, 0.07326170802116394, 0.5222601294517517, 0.0, 0.7495675683021545, 0.0]"
470,"[0.5243192911148071, 0.0, 0.0, 0.0, 0.7979680299758911, 0.00552422646433115, 0.0, 0.3006846308708191, 0.025770269334316254, 0.7089917659759521, 0.9852209687232971, 0.10733339190483093, 0.031133513897657394, 0.9489491581916809, 0.48320135474205017, 0.29951703548431396, 0.0, 0.7822182774543762, 0.0, 1.1260724067687988]"
480,"[0.25807398557662964, 1.1585776805877686, 1.1104024648666382, 0.0, 0.5890676379203796, 0.4938942492008209, 0.00453590415418148, 0.0, 0.0, 0.4336244761943817, 0.1914362758398056, 0.31812071800231934, 0.0048638200387358665, 0.4769883155822754, 0.07342630624771118, 0.0, 0.5188968181610107, 0.26351597905158997, 0.09430989623069763, 0.618095338344574]"
490,"[0.2571084797382355, 0.05301881954073906, 0.6000864505767822, 0.0, 0.11053509265184402, 0.21004952490329742, 0.3260190784931183, 0.8746119141578674, 0.08005216717720032, 0.23975200951099396, 1.1941407918930054, 0.9355222582817078, 0.3488929867744446, 0.3542116582393646, 0.4728146195411682, 0.17179960012435913, 0.18319083750247955, 0.02111494541168213, 0.1463821530342102, 0.2497265487909317]"
500,"[0.0, 0.497253954410553, 0.3649117350578308, 0.3743002712726593, 0.3042270243167877, 0.037122610956430435, 0.9458001852035522, 0.46271997690200806, 0.024839425459504128, 0.48437246680259705, 0.03169355168938637, 0.5841739773750305, 0.0, 0.1955997347831726, 0.0, 1.3824992179870605, 0.012570155784487724, 0.31056055426597595, 0.0, 0.0]"
510,"[0.5285881757736206, 0.21584779024124146, 0.02975582331418991, 0.5711761116981506, 0.10073153674602509, 0.12644216418266296, 0.0646909698843956, 0.6896973848342896, 0.6836076974868774, 0.0867501050233841, 0.04090587794780731, 0.0, 0.0, 1.032644510269165, 0.88460373878479, 0.47422119975090027, 0.0, 0.0, 0.391570121049881, 0.0]"
520,"[0.2017742544412613, 0.2731522023677826, 0.0, 0.4149112105369568, 0.6523674726486206, 0.10136871784925461, 0.0, 0.5635653138160706, 0.059773534536361694, 0.3299008905887604, 0.5886128544807434, 0.0, 0.14964821934700012, 0.10944749414920807, 0.3407083749771118, 0.2071332037448883, 0.09589781612157822, 1.5858632326126099, 0.6539618968963623, 0.4561888575553894]"
530,"[1.1817625761032104, 0.8235713839530945, 0.0, 0.0, 0.38068148493766785, 0.29968661069869995, 0.7671163082122803, 0.0, 0.0, 0.10063830763101578, 0.3640806972980499, 0.15864109992980957, 0.0, 0.6534245014190674, 0.08912435919046402, 0.5417101383209229, 0.5013963580131531, 0.7204980254173279, 0.3191833794116974, 0.38592419028282166]"
540,"[0.45606935024261475, 0.0, 0.23414573073387146, 0.8041754364967346, 0.07336869090795517, 0.16072458028793335, 0.17678718268871307, 0.19609789550304413, 0.035434089601039886, 0.24692532420158386, 0.04508410766720772, 0.5564626455307007, 0.0, 0.3490135371685028, 0.0, 0.1857161968946457, 1.2039223909378052, 0.0, 0.10248153656721115, 0.5370352864265442]"
550,"[0.2652750611305237, 0.3095583915710449, 0.7321140766143799, 0.06886950880289078, 0.14775633811950684, 0.020993143320083618, 0.7516916990280151, 0.09135760366916656, 0.31191205978393555, 0.07559075206518173, 0.32444772124290466, 0.48349374532699585, 0.0, 0.9784220457077026, 0.13285280764102936, 0.039204876869916916, 0.5503125786781311, 1.559495449066162, 0.01464755367487669, 0.0]"
560,"[0.0, 0.5837951898574829, 0.05177951976656914, 0.1894669085741043, 0.24425002932548523, 0.18643821775913239, 0.13131555914878845, 0.5088042616844177, 0.24193371832370758, 0.012568216770887375, 1.460806131362915, 0.34545400738716125, 0.0, 0.22971847653388977, 0.7550814747810364, 0.0, 0.04695475101470947, 0.35126253962516785, 0.32993167638778687, 0.0]"
570,"[0.0, 0.4384361207485199, 0.0, 0.09193014353513718, 0.06106282025575638, 0.25207293033599854, 0.03550112992525101, 0.0, 0.7848619818687439, 0.29009008407592773, 0.3448454439640045, 0.5411377549171448, 0.07162000983953476, 0.3639250099658966, 0.1781148761510849, 0.0, 1.60854172706604, 0.0, 0.43778881430625916, 0.6509144902229309]"
580,"[0.4964906871318817, 0.12653914093971252, 0.8208165764808655, 0.09715674072504044, 0.5921385288238525, 0.35425078868865967, 0.2577458918094635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020517483353614807, 0.32837751507759094, 0.014761252328753471, 1.0740541219711304, 0.29555314779281616, 1.0233348608016968, 0.3294907510280609, 0.1078580692410469]"
590,"[0.22608640789985657, 0.5243729948997498, 0.7172120809555054, 0.3815650939941406, 0.0, 0.15725918114185333, 0.13220787048339844, 0.7047834992408752, 0.11000171303749084, 0.3415064215660095, 0.0, 0.0, 0.13276307284832, 0.33153650164604187, 0.11990723013877869, 0.5360081791877747, 1.1142882108688354, 0.10182032734155655, 0.0, 0.012103491462767124]"
600,"[0.4014248549938202, 0.19316084682941437, 0.06115034222602844, 0.06717812269926071, 0.0660308375954628, 0.0, 0.3188130259513855, 0.0816621482372284, 0.0, 0.6038172245025635, 0.5592992901802063, 0.624994158744812, 0.5587920546531677, 0.9740127921104431, 0.27503737807273865, 0.16018059849739075, 0.08074943721294403, 1.0515841245651245, 0.06464503705501556, 1.04995596408844]"
610,"[0.7768188714981079, 0.052920643240213394, 0.0, 0.0, 0.0, 0.0, 0.34526771306991577, 0.48944059014320374, 0.3372102379798889, 0.0889824777841568, 0.6300048232078552, 0.17554283142089844, 1.2774593830108643, 0.23061199486255646, 0.17500941455364227, 0.05123904347419739, 0.5355893969535828, 0.1826915442943573, 0.09920204430818558, 0.5824719667434692]"
620,"[0.0, 0.67807537317276, 0.09535425901412964, 0.311164528131485, 0.0, 0.3493105173110962, 0.6560574173927307, 0.0, 0.8671628832817078, 0.26393255591392517, 0.5202582478523254, 0.0, 1.0469536781311035, 0.024338960647583008, 0.6926361918449402, 0.3157104253768921, 0.14859984815120697, 0.1135006994009018, 0.054676081985235214, 0.8732365369796753]"
630,"[1.1795207262039185, 0.0, 0.8620899319648743, 0.0, 0.0, 0.2806498110294342, 1.0743991136550903, 0.0, 0.23852792382240295, 0.0, 0.7272847890853882, 0.0, 0.0, 0.38410520553588867, 0.5201553106307983, 0.18738339841365814, 0.0, 0.0, 0.0, 0.5537276268005371]"
640,"[0.6182852387428284, 0.7108839154243469, 0.22792083024978638, 0.033627498894929886, 0.7654107809066772, 0.5609874129295349, 0.1153881847858429, 1.2083799839019775, 0.3618067502975464, 0.29478171467781067, 0.009283584542572498, 0.1616511195898056, 0.023962900042533875, 0.0, 0.0, 0.4529434144496918, 0.20896905660629272, 1.11045241355896, 0.0, 0.2318722903728485]"
650,"[0.11598589271306992, 0.11727450788021088, 0.0, 0.0, 0.5249552726745605, 0.6115785241127014, 0.9139457941055298, 0.0, 0.04882756993174553, 0.2470121830701828, 0.5015833377838135, 0.3758131265640259, 0.641313910484314, 0.13868974149227142, 0.0, 0.0, 0.8509387969970703, 0.823530375957489, 0.31457340717315674, 0.9348941445350647]"
660,"[0.4265144467353821, 0.3823927044868469, 0.42163366079330444, 0.07231070846319199, 0.04430191591382027, 0.0, 0.4500524401664734, 0.0, 0.00012539440649561584, 0.07492806762456894, 0.6878140568733215, 0.0, 0.2207038700580597, 0.6271587014198303, 0.623473048210144, 0.3426404893398285, 1.5082192420959473, 0.495999813079834, 0.3324359655380249, 0.0]"
670,"[0.7597410678863525, 0.42948096990585327, 0.0, 0.020147157832980156, 0.036920517683029175, 0.0, 0.64400315284729, 0.23808985948562622, 0.161370649933815, 0.5346161127090454, 0.2255399376153946, 0.0, 1.0935276746749878, 0.2570481300354004, 0.4955471158027649, 0.05138764902949333, 1.1573877334594727, 0.5255199670791626, 0.5052494406700134, 0.0]"
680,"[0.32199785113334656, 0.18549183011054993, 0.0, 0.3240791857242584, 0.17138653993606567, 0.05993838608264923, 1.3726589679718018, 0.1498536765575409, 0.5551916360855103, 0.2542871832847595, 0.9353029727935791, 0.0, 0.01814037747681141, 0.0, 0.49628809094429016, 0.17536526918411255, 0.16512909531593323, 0.8400008082389832, 0.5073865652084351, 0.19725100696086884]"
690,"[0.712274968624115, 0.08588045090436935, 0.07578827440738678, 0.0, 0.25212153792381287, 0.8677334189414978, 0.3422316908836365, 0.0, 0.47118571400642395, 0.0, 0.0, 0.17625349760055542, 0.40215417742729187, 0.7048688530921936, 1.0238953828811646, 0.7929227352142334, 0.05281338095664978, 0.7432194948196411, 0.27364352345466614, 0.12870173156261444]"
700,"[0.32102376222610474, 0.38388699293136597, 0.0, 0.16194716095924377, 0.22133174538612366, 0.4641564190387726, 0.17627710103988647, 0.2501566708087921, 0.6196431517601013, 0.3214470148086548, 1.5572822093963623, 0.8699580430984497, 0.17483557760715485, 0.1122230514883995, 0.533036470413208, 0.040022119879722595, 0.10855668038129807, 0.011267212219536304, 0.7001357078552246, 0.027056651189923286]"
710,"[0.4474300146102905, 0.0, 0.9240390658378601, 0.0, 0.31505078077316284, 0.37463468313217163, 0.049795906990766525, 0.9992225766181946, 0.0, 0.18518614768981934, 0.0, 1.0605217218399048, 0.0, 0.17198005318641663, 0.0, 0.2919815480709076, 0.005735518876463175, 0.0, 0.9117746949195862, 0.26104289293289185]"
720,"[0.0, 0.1581658124923706, 0.0, 0.8953986763954163, 0.35358408093452454, 0.5324694514274597, 0.4033162593841553, 0.0, 0.17495474219322205, 0.568384051322937, 0.886239767074585, 0.0, 0.16215413808822632, 0.0, 0.2551380693912506, 0.7604352831840515, 0.0, 0.024618713185191154, 0.8305097818374634, 0.6247017979621887]"
730,"[0.5270891785621643, 0.8142619729042053, 0.0, 0.0, 0.7628856301307678, 0.0, 0.0, 0.7020984888076782, 0.012121926061809063, 0.0, 0.0, 0.4879416525363922, 0.0, 0.5915037393569946, 0.9771341681480408, 0.16727137565612793, 0.28713667392730713, 0.0, 0.9593203663825989, 0.619564950466156]"
740,"[0.0, 0.0, 0.0, 0.10599055886268616, 0.42197760939598083, 0.2967982888221741, 0.5025739669799805, 0.0, 0.6649311780929565, 1.0098196268081665, 0.7879993319511414, 0.43173351883888245, 0.06538981199264526, 0.001697851112112403, 0.8724789619445801, 0.0, 0.3328390121459961, 0.2974297106266022, 0.0, 0.057673100382089615]"
750,"[0.7944929003715515, 0.20473553240299225, 0.23717789351940155, 0.8406009674072266, 0.32369282841682434, 0.678259015083313, 0.3164866268634796, 0.010060174390673637, 0.01943230628967285, 0.12205678969621658, 0.14871028065681458, 0.20524261891841888, 0.0, 0.48871275782585144, 0.11597104370594025, 0.5322974324226379, 0.12941999733448029, 0.6234575510025024, 1.1912665367126465, 0.0]"
760,"[0.8697183728218079, 0.4793248176574707, 0.07157564163208008, 0.5470865964889526, 0.0, 0.8770109415054321, 0.0017696510767564178, 0.6006174683570862, 0.21628034114837646, 0.023835783824324608, 0.14731408655643463, 0.5144503116607666, 0.29037705063819885, 0.9565886855125427, 0.0, 0.0, 0.27707237005233765, 0.3414587080478668, 0.9880823493003845, 0.0]"
